date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2007-07-23,71.74,72.67,70.85,71.78,9267800,71.74,72.67,70.85,71.78,9267800,0.0,1.0,1
2007-07-24,69.25,72.16,68.85,71.04,25342300,69.25,72.16,68.85,71.04,25342300,0.0,1.0,1
2007-07-25,86.1799,88.8,83.65,84.65,60452400,86.1799,88.8,83.65,84.65,60452400,0.0,1.0,1
2007-07-26,84.01,89.0,83.43,85.02,23267100,84.01,89.0,83.43,85.02,23267100,0.0,1.0,1
2007-07-27,84.0399,85.33,82.48,84.27,13942600,84.0399,85.33,82.48,84.27,13942600,0.0,1.0,1
2007-07-30,82.7,84.05,81.51,83.0,12855600,82.7,84.05,81.51,83.0,12855600,0.0,1.0,1
2007-07-31,78.54,83.73,78.0,83.7,14104500,78.54,83.73,78.0,83.7,14104500,0.0,1.0,1
2007-08-01,77.31,78.15,75.06,78.1,16918000,77.31,78.15,75.06,78.1,16918000,0.0,1.0,1
2007-08-02,79.71,79.76,76.12,77.86,10361600,79.71,79.76,76.12,77.86,10361600,0.0,1.0,1
2007-08-03,76.7999,80.75,76.71,79.54,7987500,76.7999,80.75,76.71,79.54,7987500,0.0,1.0,1
2007-08-06,79.0,79.0,76.6,77.06,9002900,79.0,79.0,76.6,77.06,9002900,0.0,1.0,1
2007-08-07,79.14,80.0,77.89,78.55,8059300,79.14,80.0,77.89,78.55,8059300,0.0,1.0,1
2007-08-08,77.78,79.88,76.56,79.77,8244800,77.78,79.88,76.56,79.77,8244800,0.0,1.0,1
2007-08-09,74.11,77.26,74.11,76.4,8348400,74.11,77.26,74.11,76.4,8348400,0.0,1.0,1
2007-08-10,74.7801,76.5,72.37,73.15,9067600,74.7801,76.5,72.37,73.15,9067600,0.0,1.0,1
2007-08-13,74.87,76.32,74.7,76.09,6068600,74.87,76.32,74.7,76.09,6068600,0.0,1.0,1
2007-08-14,73.45,74.79,72.92,74.79,5946200,73.45,74.79,72.92,74.79,5946200,0.0,1.0,1
2007-08-15,72.38,75.15,72.26,72.97,6375900,72.38,75.15,72.26,72.97,6375900,0.0,1.0,1
2007-08-16,72.79,73.24,70.05,72.0,10787300,72.79,73.24,70.05,72.0,10787300,0.0,1.0,1
